RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado,gano,motivo
195,65,9.0,mejorada,1,2,5105868764207785778,4,4,2,4,2,7,2,9,1,perdido,0,victimas
445,148,9.0,mejorada,1,3,4048243689632662950,2,2,24,14,20,8,1,9,1,perdido,0,colapso
629,209,9.0,mejorada,1,4,4670069332732337558,1,2,24,17,15,7,4,9,1,perdido,0,colapso
782,260,9.0,mejorada,1,4,1348210213023278175,1,1,24,10,16,7,1,9,1,perdido,0,colapso
176,58,9.0,mejorada,1,4,1289399723366875885,3,4,20,7,14,7,4,9,1,perdido,0,victimas
460,153,9.0,mejorada,1,3,5110081473724927983,3,3,25,13,19,7,0,9,1,perdido,0,colapso
198,66,9.0,mejorada,1,2,5157775689228201532,3,4,18,15,15,8,2,9,1,perdido,0,victimas
199,66,9.0,mejorada,1,3,5157775689228201532,3,5,6,6,6,7,3,9,1,perdido,0,victimas
200,66,9.0,mejorada,1,4,5157775689228201532,7,2,7,9,5,7,4,9,1,ganado,1,victoria
173,57,9.0,mejorada,1,4,5245711642959262883,3,2,26,13,20,8,1,9,1,perdido,0,colapso
174,58,9.0,mejorada,1,2,1289399723366875885,3,4,18,6,13,7,2,9,1,perdido,0,victimas
783,261,9.0,mejorada,1,2,7606184634050499706,0,1,26,15,19,8,2,9,1,perdido,0,colapso
466,155,9.0,mejorada,1,3,6200320476196052908,1,2,25,24,15,7,1,9,1,perdido,0,colapso
439,146,9.0,mejorada,1,3,3058184218377271978,1,3,25,7,18,6,2,9,1,perdido,0,colapso
440,146,9.0,mejorada,1,4,3058184218377271978,2,3,26,8,18,6,2,9,1,perdido,0,colapso
473,157,9.0,mejorada,1,4,6082100289286389018,3,1,25,14,19,7,1,9,1,perdido,0,colapso
476,158,9.0,mejorada,1,4,6705341796357657446,4,4,18,14,12,8,0,9,1,perdido,0,victimas
644,214,9.0,mejorada,1,4,6598466114264925483,3,3,26,19,19,7,1,9,1,perdido,0,colapso
436,145,9.0,mejorada,1,3,2462415865482533468,3,3,26,13,18,7,0,9,1,perdido,0,colapso
805,268,9.0,mejorada,1,3,1065207823745613756,5,4,12,14,11,6,1,9,1,perdido,0,victimas
157,52,9.0,mejorada,1,3,7258096298572574743,5,1,24,8,16,7,2,9,1,perdido,0,colapso
151,50,9.0,mejorada,1,3,1843827724646817314,7,2,7,7,7,8,3,9,1,ganado,1,victoria
225,75,9.0,mejorada,1,2,2595308321297047389,2,4,6,7,6,8,2,9,1,perdido,0,victimas
616,205,9.0,mejorada,1,3,2118203005186523722,3,2,24,12,17,7,2,9,1,perdido,0,colapso
484,161,9.0,mejorada,1,3,8448718037869960638,2,4,15,7,15,7,1,9,1,perdido,0,victimas
227,75,9.0,mejorada,1,4,2595308321297047389,3,4,21,17,15,8,0,9,1,perdido,0,victimas
142,47,9.0,mejorada,1,3,2659357371229571338,1,4,11,16,9,7,1,9,1,perdido,0,victimas
143,47,9.0,mejorada,1,4,2659357371229571338,0,2,26,9,16,8,2,9,1,perdido,0,colapso
422,140,9.0,mejorada,1,4,4488630840155108969,7,1,9,14,7,7,4,9,1,ganado,1,victoria
817,272,9.0,mejorada,1,3,492361424666756014,3,4,21,9,15,7,1,9,1,perdido,0,victimas
762,254,9.0,mejorada,1,2,2182825021047865272,4,4,9,5,8,7,2,9,1,perdido,0,victimas
819,273,9.0,mejorada,1,2,5452339343277554439,2,2,25,13,18,6,0,9,1,perdido,0,colapso
760,253,9.0,mejorada,1,3,2285916494551865702,2,1,25,14,18,8,0,9,1,perdido,0,colapso
235,78,9.0,mejorada,1,3,5137714777533577109,2,3,26,16,18,7,1,9,1,perdido,0,colapso
238,79,9.0,mejorada,1,3,7230184821612632325,0,2,24,10,16,8,2,9,1,perdido,0,colapso
239,79,9.0,mejorada,1,4,7230184821612632325,0,3,24,19,18,8,0,9,1,perdido,0,colapso
611,203,9.0,mejorada,1,4,1327220201204445598,2,4,24,18,14,8,2,9,1,perdido,0,victimas
249,83,9.0,mejorada,1,2,1540053360388708572,7,1,5,5,5,6,2,9,1,ganado,1,victoria
416,138,9.0,mejorada,1,4,7219458207281458726,2,4,13,14,12,7,2,9,1,perdido,0,victimas
610,203,9.0,mejorada,1,3,1327220201204445598,4,4,6,10,4,6,3,9,1,perdido,0,victimas
824,274,9.0,mejorada,1,4,6278483331563398250,0,3,25,10,20,7,2,9,1,perdido,0,colapso
652,217,9.0,mejorada,1,3,1141427372043005697,0,0,26,12,18,7,2,9,1,perdido,0,colapso
757,252,9.0,mejorada,1,3,4186459809758113773,4,3,24,8,17,8,0,9,1,perdido,0,colapso
124,41,9.0,mejorada,1,3,7680100789218536959,2,4,16,13,12,8,3,9,1,perdido,0,victimas
826,275,9.0,mejorada,1,3,3630600148398900764,5,4,22,11,16,6,1,9,1,perdido,0,victimas
127,42,9.0,mejorada,1,3,6458805560192802266,4,3,25,13,18,8,0,9,1,perdido,0,colapso
500,166,9.0,mejorada,1,4,7653459513276407468,0,3,25,10,17,6,2,9,1,perdido,0,colapso
117,39,9.0,mejorada,1,2,6177943668448659538,3,4,9,6,8,7,2,9,1,perdido,0,victimas
262,87,9.0,mejorada,1,3,4260065529960581386,3,2,25,15,20,8,0,9,1,perdido,0,colapso
112,37,9.0,mejorada,1,3,4387603514346341532,0,2,25,15,17,7,0,9,1,perdido,0,colapso
269,89,9.0,mejorada,1,4,4621322367900553788,0,2,26,22,19,7,1,9,1,perdido,0,colapso
745,248,9.0,mejorada,1,3,3451238642599062930,7,0,10,1,8,8,3,9,1,ganado,1,victoria
275,91,9.0,mejorada,1,4,6422421876184220429,2,4,23,11,15,7,0,9,1,perdido,0,victimas
665,221,9.0,mejorada,1,4,4506392421548718624,3,1,25,12,17,7,0,9,1,perdido,0,colapso
97,32,9.0,mejorada,1,3,3005208497149623952,1,4,12,9,9,8,3,9,1,perdido,0,victimas
98,32,9.0,mejorada,1,4,3005208497149623952,0,4,23,22,16,8,0,9,1,perdido,0,victimas
102,34,9.0,mejorada,1,2,4330887939463945487,4,4,17,10,16,8,2,9,1,perdido,0,victimas
